setting,method,eval,fold_count,n_total,source_file,accuracy_mean,accuracy_sd,accuracy_mean_sd,precision_mean,precision_sd,precision_mean_sd,recall_mean,recall_sd,recall_mean_sd,f1_mean,f1_sd,f1_mean_sd,auroc_mean,auroc_sd,auroc_mean_sd,auprc_mean,auprc_sd,auprc_mean_sd
PS,ERGO-II,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/ERGO-II/test_metrics.csv,0.6528575299231423,0.0026790217117714,0.6529 +/- 0.0027,0.6633200745549725,0.0176394965634018,0.6633 +/- 0.0176,0.6247202028518467,0.0444140299775865,0.6247 +/- 0.0444,0.6422116324062298,0.0161662731533855,0.6422 +/- 0.0162,0.7139212535946111,0.0029796603537486,0.7139 +/- 0.0030,0.7136372252277556,0.0046068294491278,0.7136 +/- 0.0046
PS,ERGO-II,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/ERGO-II/seen_independent_metrics.csv,0.612104726283577,0.012598317964811,0.6121 +/- 0.0126,0.6371368308612066,0.0210232267496864,0.6371 +/- 0.0210,0.5236994219653179,0.0368050685190455,0.5237 +/- 0.0368,0.5740093223672939,0.020487745737388,0.5740 +/- 0.0205,0.6627097047788186,0.0155207546155008,0.6627 +/- 0.0155,0.6642877335239504,0.0176682293353344,0.6643 +/- 0.0177
PS,ERGO-II,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/ERGO-II/unseen_independent_metrics.csv,0.5822264389626819,0.0063013468833558,0.5822 +/- 0.0063,0.6030255344673673,0.0112856640927816,0.6030 +/- 0.0113,0.4839974699557242,0.0466761456543687,0.4840 +/- 0.0467,0.5357242851961652,0.0264838423236056,0.5357 +/- 0.0265,0.6083474658149972,0.007348161569744,0.6083 +/- 0.0073,0.6080470277170203,0.0082044034962691,0.6080 +/- 0.0082
PS,PanPep,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/PanPep/test_metrics.csv,0.5851384656255394,0.0262654336959266,0.5851 +/- 0.0263,0.5872381519217822,0.0272772393758467,0.5872 +/- 0.0273,0.5737642422415414,0.0306597850948739,0.5738 +/- 0.0307,0.58028554038774,0.0271329163298464,0.5803 +/- 0.0271,0.618613122846391,0.034271425000829,0.6186 +/- 0.0343,0.6125648111255707,0.0334909305084763,0.6126 +/- 0.0335
PS,PanPep,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/PanPep/seen_independent_metrics.csv,0.553417205032302,0.0192218317578687,0.5534 +/- 0.0192,0.561651264444324,0.022950514763733,0.5617 +/- 0.0230,0.488813328799728,0.0223051828226225,0.4888 +/- 0.0223,0.5225225790169095,0.0198424605686516,0.5225 +/- 0.0198,0.5775491963043795,0.0284949240684409,0.5775 +/- 0.0285,0.5753140128474135,0.0286452148685548,0.5753 +/- 0.0286
PS,PanPep,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/PanPep/unseen_independent_metrics.csv,0.5332068311195446,0.01203642140037,0.5332 +/- 0.0120,0.5359562118453989,0.0119291393728362,0.5360 +/- 0.0119,0.4917141049968374,0.0526992189474208,0.4917 +/- 0.0527,0.511924142720898,0.0304894969019461,0.5119 +/- 0.0305,0.5440760997631184,0.0114210652887989,0.5441 +/- 0.0114,0.5407510476764672,0.0120036396833891,0.5408 +/- 0.0120
PS,T-SCAPE,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/T-SCAPE/test_metrics.csv,0.6224387161183726,0.111776365782152,0.6224 +/- 0.1118,0.6333702914761357,0.1217542533376896,0.6334 +/- 0.1218,0.7978613791079879,0.184592269634898,0.7979 +/- 0.1846,0.6815139456951795,0.013756759964537,0.6815 +/- 0.0138,0.6678731928829051,0.1532469351159819,0.6679 +/- 0.1532,0.6739102989356672,0.1587600655771083,0.6739 +/- 0.1588
PS,T-SCAPE,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/T-SCAPE/seen_independent_metrics.csv,0.5960217613056783,0.0876648990102408,0.5960 +/- 0.0877,0.6150918059282631,0.1051000116971542,0.6151 +/- 0.1051,0.7463447806868413,0.2315607584482936,0.7463 +/- 0.2316,0.6442759241499478,0.020448418449891,0.6443 +/- 0.0204,0.6333978535821976,0.1217917385232325,0.6334 +/- 0.1218,0.6385233604207003,0.1265173471066384,0.6385 +/- 0.1265
PS,T-SCAPE,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/T-SCAPE/unseen_independent_metrics.csv,0.5565464895635674,0.0518492244191559,0.5565 +/- 0.0518,0.5728267411275982,0.0665318907632744,0.5728 +/- 0.0665,0.6893105629348513,0.2841908904936421,0.6893 +/- 0.2842,0.5923421922145604,0.0689645633598571,0.5923 +/- 0.0690,0.5818449319700539,0.0748554740539118,0.5818 +/- 0.0749,0.5772673122062906,0.0711057570556395,0.5773 +/- 0.0711
PS,UniPMT,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/UniPMT/test_metrics.csv,0.6442228688621048,0.0047916849290447,0.6442 +/- 0.0048,0.6469667846230245,0.0155147112469185,0.6470 +/- 0.0155,0.6381130962430921,0.0360718715017007,0.6381 +/- 0.0361,0.6417015639031872,0.0110213205349081,0.6417 +/- 0.0110,0.704290338456436,0.0050130063045549,0.7043 +/- 0.0050,0.7101238336288724,0.0053681598049113,0.7101 +/- 0.0054
PS,UniPMT,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/UniPMT/seen_independent_metrics.csv,0.6010540632437946,0.0043069996474035,0.6011 +/- 0.0043,0.6127623998502589,0.0137006509247728,0.6128 +/- 0.0137,0.5533492009520572,0.0456062305382052,0.5533 +/- 0.0456,0.5803214998074289,0.0195416869468774,0.5803 +/- 0.0195,0.6410221029446738,0.003607649796071,0.6410 +/- 0.0036,0.6369209147969548,0.0041578557364354,0.6369 +/- 0.0042
PS,UniPMT,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/UniPMT/unseen_independent_metrics.csv,0.555787476280835,0.0088624935706564,0.5558 +/- 0.0089,0.5640905965332939,0.0073421750312544,0.5641 +/- 0.0073,0.489943074003795,0.047593253247469,0.4899 +/- 0.0476,0.5234920175841377,0.0291952113767164,0.5235 +/- 0.0292,0.5749913284772806,0.0098753950446801,0.5750 +/- 0.0099,0.5652829992762639,0.0055228761846906,0.5653 +/- 0.0055
PS,UnifyImmun,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/UnifyImmun/test_metrics.csv,0.6665810947332389,0.007710401261075,0.6666 +/- 0.0077,0.6944076625776866,0.0182916414693156,0.6944 +/- 0.0183,0.5991934443365066,0.0633644403823198,0.5992 +/- 0.0634,0.6410219966336463,0.0307736625423941,0.6410 +/- 0.0308,0.7342479246030181,0.0041504621030482,0.7342 +/- 0.0042,0.7395300507247814,0.0045518844025776,0.7395 +/- 0.0046
PS,UnifyImmun,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/UnifyImmun/seen_independent_metrics.csv,0.607684461067664,0.010655585135064,0.6077 +/- 0.0107,0.6473241398997331,0.0125299091361368,0.6473 +/- 0.0125,0.4769806188371303,0.0707660797454323,0.4770 +/- 0.0708,0.5461807701631438,0.0454721910846985,0.5462 +/- 0.0455,0.6634911273867183,0.0082025652675841,0.6635 +/- 0.0082,0.6588934721259372,0.0061409952486055,0.6589 +/- 0.0061
PS,UnifyImmun,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/UnifyImmun/unseen_independent_metrics.csv,0.5647058823529412,0.0058168669910307,0.5647 +/- 0.0058,0.5852161785399679,0.0095434941071105,0.5852 +/- 0.0095,0.446426312460468,0.0358595287902583,0.4464 +/- 0.0359,0.5056815648256585,0.0211600184275803,0.5057 +/- 0.0212,0.5927609688261258,0.0067203261385831,0.5928 +/- 0.0067,0.5955960845703855,0.0087654920913008,0.5956 +/- 0.0088
